,asin,positive about carrier,negative about carrier,positive about phone unlocking,negative about phone unlocking,positive about design,negative about design,positive about camera,negative about camera,positive about OS,negative about OS,positive about memory,negative about memory,positive about battery,negative about battery,positive about network,negative about network,positive about apps,negative about apps,positive about customer service,negative about customer service,positive about brand,negative about brand,positive about screen,negative about screen,positive about price,negative about price,positive about purchase experience,negative about purchase experience,overall postive feedback,overall negative feedback,rating,overall neutral,overall positive,overall negative
40,B071H9KKKF,0.31,0.13,0.06,0.03,0.59,0.21,0.08,0.02,0.09,0.01,0.01,0.02,0.06,0.03,0.23,0.09,0.04,0.02,0.47,0.2,0.58,0.21,0.34,0.1,0.17,0.05,0.6,0.26,0.64,0.29,3.9,0.11,0.62,0.27
41,B071JP8XDJ,0.18,0.09,0.04,0.07,0.54,0.23,0.18,0.08,0.09,0.02,0.04,0.03,0.04,0.07,0.18,0.1,0.06,0.06,0.33,0.21,0.54,0.22,0.32,0.12,0.2,0.07,0.55,0.34,0.6,0.36,3.7,0.14,0.56,0.31
42,B071ZDQ6MV,0.21,0.09,0.04,0.02,0.5,0.25,0.1,0.07,0.17,0.06,0.03,0.02,0.08,0.05,0.19,0.12,0.07,0.04,0.25,0.22,0.52,0.26,0.24,0.11,0.29,0.08,0.54,0.33,0.58,0.37,3.72,0.1,0.55,0.34
43,B072N3GKSM,0.19,0.14,0.06,0.07,0.33,0.32,0.12,0.02,0.13,0.03,0.02,0.02,0.05,0.16,0.15,0.13,0.05,0.02,0.28,0.35,0.36,0.34,0.16,0.11,0.16,0.1,0.4,0.47,0.42,0.49,3.0,0.12,0.41,0.47
44,B072ZWCKP5,0.26,0.08,0.11,0.04,0.64,0.1,0.11,0.05,0.14,0.01,0.03,0.01,0.4,0.02,0.16,0.09,0.07,0.01,0.36,0.16,0.62,0.14,0.25,0.04,0.32,0.03,0.7,0.18,0.76,0.19,4.24,0.1,0.74,0.16
45,B0731HBTZ7,0.45,0.19,0.13,0.08,0.58,0.22,0.1,0.02,0.14,0.04,0.03,0.01,0.06,0.07,0.28,0.16,0.08,0.02,0.6,0.27,0.59,0.24,0.27,0.08,0.26,0.09,0.63,0.3,0.65,0.29,3.7,0.1,0.63,0.27
46,B07536MYBQ,0.24,0.13,0.08,0.1,0.52,0.18,0.15,0.0,0.12,0.02,0.02,0.01,0.06,0.06,0.22,0.12,0.06,0.03,0.38,0.19,0.54,0.21,0.32,0.08,0.19,0.06,0.59,0.28,0.62,0.3,3.86,0.15,0.59,0.26
47,B075FL4H89,0.2,0.2,0.04,0.08,0.41,0.34,0.04,0.02,0.08,0.06,0.05,0.03,0.1,0.04,0.16,0.22,0.07,0.06,0.26,0.25,0.37,0.28,0.16,0.18,0.1,0.07,0.41,0.41,0.46,0.44,3.24,0.13,0.44,0.43
48,B075FLG6MV,0.21,0.13,0.06,0.04,0.41,0.3,0.06,0.06,0.14,0.07,0.02,0.11,0.12,0.05,0.13,0.12,0.05,0.06,0.26,0.23,0.4,0.29,0.16,0.11,0.27,0.11,0.43,0.42,0.48,0.48,3.07,0.12,0.44,0.44
49,B076XLLCQC,0.44,0.12,0.14,0.08,0.63,0.19,0.1,0.01,0.13,0.02,0.02,0.01,0.05,0.04,0.3,0.1,0.08,0.02,0.61,0.22,0.64,0.18,0.36,0.12,0.28,0.08,0.66,0.25,0.71,0.23,4.05,0.1,0.69,0.21
50,B0775451TT,0.34,0.16,0.09,0.09,0.55,0.25,0.07,0.06,0.14,0.02,0.02,0.04,0.12,0.06,0.19,0.12,0.09,0.03,0.5,0.29,0.54,0.24,0.24,0.16,0.27,0.09,0.59,0.32,0.61,0.32,3.73,0.09,0.6,0.31
51,B077578W38,0.38,0.11,0.08,0.06,0.57,0.21,0.11,0.02,0.1,0.02,0.03,0.02,0.14,0.06,0.22,0.1,0.08,0.02,0.56,0.21,0.58,0.2,0.28,0.14,0.28,0.06,0.64,0.24,0.65,0.24,3.95,0.14,0.64,0.22
